symbol,name,initial value,value,unit,lower bound,upper bound,fit,digits
FA,Flip angle,15.0,15.0,deg,0.0,180.0,False,4
S0,Signal amplitude S0,1200.0,2166.914225722522,a.u.,0.0,inf,False,4
BAT,Bolus arrival time,60.0,82.25425961078895,sec,0.0,inf,True,3
CO,Cardiac output,100.0,150.45831322035713,mL/sec,0.0,inf,True,3
MTThl,Heart & lung mean transit time,8.0,13.416662329091693,sec,0.0,30.0,True,3
MTTo,Other organs mean transit time,20.0,8.699982393222324,sec,0.0,60.0,True,3
TTDo,Other organs transit time dispersion,10.0,24.914098821701707,sec,0.0,inf,True,2
MTTe,Storage compartment mean transit time,120.0,725.2090782452672,sec,0.0,800.0,True,3
El,Storage compartment leakage fraction,0.15,0.1325877559162593,,0.0,0.5,True,4
Ee,Kidney & Liver Extraction fraction,0.05,0.04675393521442604,,0.01,0.15,True,4
