symbol,name,initial value,value,unit,lower bound,upper bound,fit,digits
FA,Flip angle,15.0,15.0,deg,0.0,180.0,False,4
S0,Signal amplitude S0,1200.0,1570.3146932088744,a.u.,0.0,inf,False,4
BAT,Bolus arrival time,60.0,82.37482082986537,sec,0.0,inf,True,3
CO,Cardiac output,100.0,64.14654491621052,mL/sec,0.0,inf,True,3
MTThl,Heart & lung mean transit time,8.0,6.642967642030996,sec,0.0,30.0,True,3
MTTo,Other organs mean transit time,20.0,13.14464038786384,sec,0.0,60.0,True,3
TTDo,Other organs transit time dispersion,10.0,36.45205627731353,sec,0.0,inf,True,2
MTTe,Storage compartment mean transit time,120.0,766.5999814937225,sec,0.0,800.0,True,3
El,Storage compartment leakage fraction,0.15,0.17421297212152795,,0.0,0.5,True,4
Ee,Kidney & Liver Extraction fraction,0.05,0.04398807002390735,,0.01,0.15,True,4
