symbol,name,initial value,value,unit,lower bound,upper bound,fit,digits
FA,Flip angle,15.0,15.0,deg,0.0,180.0,False,4
S0,Signal amplitude S0,1200.0,2504.7687475660405,a.u.,0.0,inf,False,4
BAT,Bolus arrival time,60.0,84.37355235761775,sec,0.0,inf,True,3
CO,Cardiac output,100.0,101.92411253802616,mL/sec,0.0,inf,True,3
MTThl,Heart & lung mean transit time,8.0,9.125846864815575,sec,0.0,30.0,True,3
MTTo,Other organs mean transit time,20.0,13.196094375952383,sec,0.0,60.0,True,3
TTDo,Other organs transit time dispersion,10.0,20.723680288726584,sec,0.0,inf,True,2
MTTe,Storage compartment mean transit time,120.0,411.3594183143208,sec,0.0,800.0,True,3
El,Storage compartment leakage fraction,0.15,0.20369405432463966,,0.0,0.5,True,4
Ee,Kidney & Liver Extraction fraction,0.05,0.04998429349054066,,0.01,0.15,True,4
