symbol,name,initial value,value,unit,lower bound,upper bound,fit,digits
FA,Flip angle,15.0,15.0,deg,0.0,180.0,False,4
S0,Signal amplitude S0,1200.0,1427.8779412971953,a.u.,0.0,inf,False,4
BAT,Bolus arrival time,60.0,78.7262994184111,sec,0.0,inf,True,3
CO,Cardiac output,100.0,39.72424578638558,mL/sec,0.0,inf,True,3
MTThl,Heart & lung mean transit time,8.0,6.084010856701933,sec,0.0,30.0,True,3
MTTo,Other organs mean transit time,20.0,10.645162990930547,sec,0.0,60.0,True,3
TTDo,Other organs transit time dispersion,10.0,31.271538189107066,sec,0.0,inf,True,2
MTTe,Storage compartment mean transit time,120.0,799.9345151812463,sec,0.0,800.0,True,3
El,Storage compartment leakage fraction,0.15,0.36064829667905635,,0.0,0.5,True,4
Ee,Kidney & Liver Extraction fraction,0.05,0.14999999999997374,,0.01,0.15,True,4
