symbol,name,initial value,value,unit,lower bound,upper bound,fit,digits
FA,Flip angle,15.0,15.0,deg,0.0,180.0,False,4
S0,Signal amplitude S0,1200.0,1815.5802858076709,a.u.,0.0,inf,False,4
BAT,Bolus arrival time,60.0,74.86036527881028,sec,0.0,inf,True,3
CO,Cardiac output,100.0,34.23970249041134,mL/sec,0.0,inf,True,3
MTThl,Heart & lung mean transit time,8.0,5.125984635576939,sec,0.0,30.0,True,3
MTTo,Other organs mean transit time,20.0,9.70376537562382,sec,0.0,60.0,True,3
TTDo,Other organs transit time dispersion,10.0,23.982063999044392,sec,0.0,inf,True,2
MTTe,Storage compartment mean transit time,120.0,336.8703338143477,sec,0.0,800.0,True,3
El,Storage compartment leakage fraction,0.15,0.1417820431122786,,0.0,0.5,True,4
Ee,Kidney & Liver Extraction fraction,0.05,0.042007559735350836,,0.01,0.15,True,4
