symbol,name,initial value,value,unit,lower bound,upper bound,fit,digits
FA,Flip angle,15.0,15.0,deg,0.0,180.0,False,4
S0,Signal amplitude S0,1200.0,2200.7695831168962,a.u.,0.0,inf,False,4
BAT,Bolus arrival time,60.0,88.61147325919987,sec,0.0,inf,True,3
CO,Cardiac output,100.0,60.79684841995452,mL/sec,0.0,inf,True,3
MTThl,Heart & lung mean transit time,8.0,15.787242241240474,sec,0.0,30.0,True,3
MTTo,Other organs mean transit time,20.0,14.983816848823867,sec,0.0,60.0,True,3
TTDo,Other organs transit time dispersion,10.0,44.51900129542471,sec,0.0,inf,True,2
MTTe,Storage compartment mean transit time,120.0,799.4511348228174,sec,0.0,800.0,True,3
El,Storage compartment leakage fraction,0.15,0.2008118332537095,,0.0,0.5,True,4
Ee,Kidney & Liver Extraction fraction,0.05,0.0422799541242149,,0.01,0.15,True,4
