symbol,name,initial value,value,unit,lower bound,upper bound,fit,digits
FA,Flip angle,15.0,15.0,deg,0.0,180.0,False,4
S0,Signal amplitude S0,1200.0,1262.624819527222,a.u.,0.0,inf,False,4
BAT,Bolus arrival time,60.0,75.11884530434487,sec,0.0,inf,True,3
CO,Cardiac output,100.0,65.68144322190896,mL/sec,0.0,inf,True,3
MTThl,Heart & lung mean transit time,8.0,5.258606148256339,sec,0.0,30.0,True,3
MTTo,Other organs mean transit time,20.0,8.967365873187909,sec,0.0,60.0,True,3
TTDo,Other organs transit time dispersion,10.0,24.12805419507867,sec,0.0,inf,True,2
MTTe,Storage compartment mean transit time,120.0,344.3377479298606,sec,0.0,800.0,True,3
El,Storage compartment leakage fraction,0.15,0.20535875019728522,,0.0,0.5,True,4
Ee,Kidney & Liver Extraction fraction,0.05,0.04900635673099676,,0.01,0.15,True,4
