symbol,name,initial value,value,unit,lower bound,upper bound,fit,digits
FA,Flip angle,15.0,15.0,deg,0.0,180.0,False,4
S0,Signal amplitude S0,1200.0,1811.62274686415,a.u.,0.0,inf,False,4
BAT,Bolus arrival time,60.0,78.34874727653478,sec,0.0,inf,True,3
CO,Cardiac output,100.0,76.10393925094453,mL/sec,0.0,inf,True,3
MTThl,Heart & lung mean transit time,8.0,13.299516562972784,sec,0.0,30.0,True,3
MTTo,Other organs mean transit time,20.0,12.911585806940307,sec,0.0,60.0,True,3
TTDo,Other organs transit time dispersion,10.0,27.483097748799537,sec,0.0,inf,True,2
MTTe,Storage compartment mean transit time,120.0,657.9623840735566,sec,0.0,800.0,True,3
El,Storage compartment leakage fraction,0.15,0.14687076783819106,,0.0,0.5,True,4
Ee,Kidney & Liver Extraction fraction,0.05,0.030315380740513157,,0.01,0.15,True,4
