symbol,name,initial value,value,unit,lower bound,upper bound,fit,digits
FA,Flip angle,15.0,15.0,deg,0.0,180.0,False,4
S0,Signal amplitude S0,1200.0,2538.4634178991955,a.u.,0.0,inf,False,4
BAT,Bolus arrival time,60.0,85.02692849547768,sec,0.0,inf,True,3
CO,Cardiac output,100.0,36.95643476449975,mL/sec,0.0,inf,True,3
MTThl,Heart & lung mean transit time,8.0,13.736938141936411,sec,0.0,30.0,True,3
MTTo,Other organs mean transit time,20.0,13.255365772394304,sec,0.0,60.0,True,3
TTDo,Other organs transit time dispersion,10.0,36.983103044118074,sec,0.0,inf,True,2
MTTe,Storage compartment mean transit time,120.0,692.9180683195377,sec,0.0,800.0,True,3
El,Storage compartment leakage fraction,0.15,0.42457155993605117,,0.0,0.5,True,4
Ee,Kidney & Liver Extraction fraction,0.05,0.01000000000036225,,0.01,0.15,True,4
