symbol,name,initial value,value,unit,lower bound,upper bound,fit,digits
FA,Flip angle,15.0,15.0,deg,0.0,180.0,False,4
S0,Signal amplitude S0,1200.0,1770.1612399879293,a.u.,0.0,inf,False,4
BAT,Bolus arrival time,60.0,75.79257444601994,sec,0.0,inf,True,3
CO,Cardiac output,100.0,59.46599518776911,mL/sec,0.0,inf,True,3
MTThl,Heart & lung mean transit time,8.0,8.094201256018621,sec,0.0,30.0,True,3
MTTo,Other organs mean transit time,20.0,13.2904710588064,sec,0.0,60.0,True,3
TTDo,Other organs transit time dispersion,10.0,42.51978882344756,sec,0.0,inf,True,2
MTTe,Storage compartment mean transit time,120.0,648.1849804785056,sec,0.0,800.0,True,3
El,Storage compartment leakage fraction,0.15,0.24953189965996742,,0.0,0.5,True,4
Ee,Kidney & Liver Extraction fraction,0.05,0.037208155617761786,,0.01,0.15,True,4
