symbol,name,initial value,value,unit,lower bound,upper bound,fit,digits
FA,Flip angle,15.0,15.0,deg,0.0,180.0,False,4
S0,Signal amplitude S0,1200.0,2292.782105092811,a.u.,0.0,inf,False,4
BAT,Bolus arrival time,60.0,80.95017417553699,sec,0.0,inf,True,3
CO,Cardiac output,100.0,55.05748732446505,mL/sec,0.0,inf,True,3
MTThl,Heart & lung mean transit time,8.0,12.470366106295506,sec,0.0,30.0,True,3
MTTo,Other organs mean transit time,20.0,8.76048807612173,sec,0.0,60.0,True,3
TTDo,Other organs transit time dispersion,10.0,41.59142293292426,sec,0.0,inf,True,2
MTTe,Storage compartment mean transit time,120.0,653.0482993831268,sec,0.0,800.0,True,3
El,Storage compartment leakage fraction,0.15,0.18678929977520037,,0.0,0.5,True,4
Ee,Kidney & Liver Extraction fraction,0.05,0.0665297586753502,,0.01,0.15,True,4
