symbol,name,initial value,value,unit,lower bound,upper bound,fit,digits
FA,Flip angle,15.0,15.0,deg,0.0,180.0,False,4
S0,Signal amplitude S0,1200.0,2360.9233047453376,a.u.,0.0,inf,False,4
BAT,Bolus arrival time,60.0,82.89260470898834,sec,0.0,inf,True,3
CO,Cardiac output,100.0,55.41973841949606,mL/sec,0.0,inf,True,3
MTThl,Heart & lung mean transit time,8.0,6.945942852943175,sec,0.0,30.0,True,3
MTTo,Other organs mean transit time,20.0,10.238783734060739,sec,0.0,60.0,True,3
TTDo,Other organs transit time dispersion,10.0,22.08892366135755,sec,0.0,inf,True,2
MTTe,Storage compartment mean transit time,120.0,310.4711088434735,sec,0.0,800.0,True,3
El,Storage compartment leakage fraction,0.15,0.2153156095245925,,0.0,0.5,True,4
Ee,Kidney & Liver Extraction fraction,0.05,0.06840830452277062,,0.01,0.15,True,4
