symbol,name,initial value,value,unit,lower bound,upper bound,fit,digits
FA,Flip angle,15.0,15.0,deg,0.0,180.0,False,4
S0,Signal amplitude S0,1200.0,1545.8406285414567,a.u.,0.0,inf,False,4
BAT,Bolus arrival time,60.0,78.86968462883975,sec,0.0,inf,True,3
CO,Cardiac output,100.0,25.804130591476923,mL/sec,0.0,inf,True,3
MTThl,Heart & lung mean transit time,8.0,6.752710251301153,sec,0.0,30.0,True,3
MTTo,Other organs mean transit time,20.0,11.02065171179571,sec,0.0,60.0,True,3
TTDo,Other organs transit time dispersion,10.0,26.481491725562165,sec,0.0,inf,True,2
MTTe,Storage compartment mean transit time,120.0,350.9189790377622,sec,0.0,800.0,True,3
El,Storage compartment leakage fraction,0.15,0.19223335749067988,,0.0,0.5,True,4
Ee,Kidney & Liver Extraction fraction,0.05,0.10627741479207484,,0.01,0.15,True,4
