symbol,name,initial value,value,unit,lower bound,upper bound,fit,digits
FA1,Flip angle 1,15.0,15.0,deg,0.0,180.0,False,4
FA2,Flip angle 2,15.0,15.0,deg,0.0,180.0,False,4
S01,Signal amplitude S0,1200.0,2360.9233047453376,a.u.,0.0,inf,False,4
S02,Signal amplitude S0,1200.0,2662.543628169426,a.u.,0.0,inf,True,4
BAT1,Bolus arrival time,60.0,81.15044145989864,sec,0.0,inf,True,3
BAT2,Bolus arrival time - second shot,10000.0,10289.30242227739,sec,0.0,inf,True,3
CO,Cardiac output,50.0,48.517565315375414,mL/sec,0.0,inf,True,3
MTThl,Heart & lung mean transit time,8.0,8.894703416495943,sec,0.0,30.0,True,2
MTTo,Other organs mean transit time,10.0,9.541183699185483,sec,0.0,30.0,True,2
TTDo,Other organs transit time dispersion,20.0,32.4753060135714,sec,0.0,60.0,True,3
MTTe,Storage compartment mean transit time,120.0,526.8376249738722,sec,0.0,800.0,True,3
El,Storage compartment leakage fraction,0.15,0.1577125904020992,,0.0,0.5,True,4
Ee,Kidney & Liver Extraction fraction,0.05,0.0670654684513682,,0.01,0.15,True,4
