symbol,name,initial value,value,unit,lower bound,upper bound,fit,digits
FA1,Flip angle 1,15.0,15.0,deg,0.0,180.0,False,4
FA2,Flip angle 2,15.0,15.0,deg,0.0,180.0,False,4
S01,Signal amplitude S0,1200.0,1545.8406285414567,a.u.,0.0,inf,False,4
S02,Signal amplitude S0,1200.0,1463.4570644475443,a.u.,0.0,inf,True,4
BAT1,Bolus arrival time,60.0,78.86677225149789,sec,0.0,inf,True,3
BAT2,Bolus arrival time - second shot,10000.0,100391.9614920498,sec,0.0,inf,True,3
CO,Cardiac output,50.0,25.686385113145707,mL/sec,0.0,inf,True,3
MTThl,Heart & lung mean transit time,8.0,6.782423400902665,sec,0.0,30.0,True,2
MTTo,Other organs mean transit time,10.0,10.926334599558169,sec,0.0,30.0,True,2
TTDo,Other organs transit time dispersion,20.0,27.344746338857178,sec,0.0,60.0,True,3
MTTe,Storage compartment mean transit time,120.0,354.9600129289635,sec,0.0,800.0,True,3
El,Storage compartment leakage fraction,0.15,0.18600174104647682,,0.0,0.5,True,4
Ee,Kidney & Liver Extraction fraction,0.05,0.10840292296182663,,0.01,0.15,True,4
