symbol,name,initial value,value,unit,lower bound,upper bound,fit,digits
FA1,Flip angle 1,15.0,15.0,deg,0.0,180.0,False,4
FA2,Flip angle 2,15.0,15.0,deg,0.0,180.0,False,4
S01,Signal amplitude S0,1200.0,1427.8779412971953,a.u.,0.0,inf,False,4
S02,Signal amplitude S0,1200.0,1621.4622923163806,a.u.,0.0,inf,True,4
BAT1,Bolus arrival time,60.0,78.74866219574976,sec,0.0,inf,True,3
BAT2,Bolus arrival time - second shot,10000.0,9553.648023958123,sec,0.0,inf,True,3
CO,Cardiac output,50.0,48.83591849157116,mL/sec,0.0,inf,True,3
MTThl,Heart & lung mean transit time,8.0,5.036499597005881,sec,0.0,30.0,True,2
MTTo,Other organs mean transit time,10.0,8.412108569308622e-14,sec,0.0,30.0,True,2
TTDo,Other organs transit time dispersion,20.0,37.449655037901906,sec,0.0,60.0,True,3
MTTe,Storage compartment mean transit time,120.0,578.0632205764703,sec,0.0,800.0,True,3
El,Storage compartment leakage fraction,0.15,0.2567270682496202,,0.0,0.5,True,4
Ee,Kidney & Liver Extraction fraction,0.05,0.14999999999918825,,0.01,0.15,True,4
