symbol,name,initial value,value,unit,lower bound,upper bound,fit,digits
FA1,Flip angle 1,15.0,15.0,deg,0.0,180.0,False,4
FA2,Flip angle 2,15.0,15.0,deg,0.0,180.0,False,4
S01,Signal amplitude S0,1200.0,1321.5674438131537,a.u.,0.0,inf,False,4
S02,Signal amplitude S0,1200.0,1690.5603100631465,a.u.,0.0,inf,True,4
BAT1,Bolus arrival time,60.0,76.6623565827665,sec,0.0,inf,True,3
BAT2,Bolus arrival time - second shot,10000.0,7278.942158056611,sec,0.0,inf,True,3
CO,Cardiac output,50.0,99.16429374758648,mL/sec,0.0,inf,True,3
MTThl,Heart & lung mean transit time,8.0,4.762848722721326,sec,0.0,30.0,True,2
MTTo,Other organs mean transit time,10.0,10.004888030836778,sec,0.0,30.0,True,2
TTDo,Other organs transit time dispersion,20.0,12.450045031216522,sec,0.0,60.0,True,3
MTTe,Storage compartment mean transit time,120.0,289.33068466640805,sec,0.0,800.0,True,3
El,Storage compartment leakage fraction,0.15,0.25939642591654305,,0.0,0.5,True,4
Ee,Kidney & Liver Extraction fraction,0.05,0.035930930695970004,,0.01,0.15,True,4
