symbol,name,initial value,value,unit,lower bound,upper bound,fit,digits
FA1,Flip angle 1,15.0,15.0,deg,0.0,180.0,False,4
FA2,Flip angle 2,15.0,15.0,deg,0.0,180.0,False,4
S01,Signal amplitude S0,1200.0,1878.1643256870036,a.u.,0.0,inf,False,4
S02,Signal amplitude S0,1200.0,2157.5214017007465,a.u.,0.0,inf,True,4
BAT1,Bolus arrival time,60.0,80.24307180563346,sec,0.0,inf,True,3
BAT2,Bolus arrival time - second shot,10000.0,9509.427389168894,sec,0.0,inf,True,3
CO,Cardiac output,50.0,84.00833382960731,mL/sec,0.0,inf,True,3
MTThl,Heart & lung mean transit time,8.0,6.90842832946517,sec,0.0,30.0,True,2
MTTo,Other organs mean transit time,10.0,11.504069548574313,sec,0.0,30.0,True,2
TTDo,Other organs transit time dispersion,20.0,25.60115852538926,sec,0.0,60.0,True,3
MTTe,Storage compartment mean transit time,120.0,385.6711066605472,sec,0.0,800.0,True,3
El,Storage compartment leakage fraction,0.15,0.14876241706377805,,0.0,0.5,True,4
Ee,Kidney & Liver Extraction fraction,0.05,0.03282900177494483,,0.01,0.15,True,4
