symbol,name,initial value,value,unit,lower bound,upper bound,fit,digits
FA1,Flip angle 1,15.0,15.0,deg,0.0,180.0,False,4
FA2,Flip angle 2,15.0,15.0,deg,0.0,180.0,False,4
S01,Signal amplitude S0,1200.0,1655.5003384511958,a.u.,0.0,inf,False,4
S02,Signal amplitude S0,1200.0,1750.4401006882085,a.u.,0.0,inf,True,4
BAT1,Bolus arrival time,60.0,84.01857134407598,sec,0.0,inf,True,3
BAT2,Bolus arrival time - second shot,10000.0,9229.29275760623,sec,0.0,inf,True,3
CO,Cardiac output,50.0,113.39514367753893,mL/sec,0.0,inf,True,3
MTThl,Heart & lung mean transit time,8.0,11.190474328911693,sec,0.0,30.0,True,2
MTTo,Other organs mean transit time,10.0,14.499405629147097,sec,0.0,30.0,True,2
TTDo,Other organs transit time dispersion,20.0,37.21958004820769,sec,0.0,60.0,True,3
MTTe,Storage compartment mean transit time,120.0,516.9693649070155,sec,0.0,800.0,True,3
El,Storage compartment leakage fraction,0.15,0.12344475908001876,,0.0,0.5,True,4
Ee,Kidney & Liver Extraction fraction,0.05,0.028305207115265338,,0.01,0.15,True,4
