symbol,name,initial value,value,unit,lower bound,upper bound,fit,digits
FA1,Flip angle 1,15.0,15.0,deg,0.0,180.0,False,4
FA2,Flip angle 2,15.0,15.0,deg,0.0,180.0,False,4
S01,Signal amplitude S0,1200.0,2200.7695831168962,a.u.,0.0,inf,False,4
S02,Signal amplitude S0,1200.0,1940.8533839899014,a.u.,0.0,inf,True,4
BAT1,Bolus arrival time,60.0,90.6463340660563,sec,0.0,inf,True,3
BAT2,Bolus arrival time - second shot,10000.0,7714.233745528259,sec,0.0,inf,True,3
CO,Cardiac output,50.0,79.86582667319774,mL/sec,0.0,inf,True,3
MTThl,Heart & lung mean transit time,8.0,8.76914399413756,sec,0.0,30.0,True,2
MTTo,Other organs mean transit time,10.0,11.996601626240304,sec,0.0,30.0,True,2
TTDo,Other organs transit time dispersion,20.0,39.18040259931914,sec,0.0,60.0,True,3
MTTe,Storage compartment mean transit time,120.0,627.0949847808112,sec,0.0,800.0,True,3
El,Storage compartment leakage fraction,0.15,0.17175850657484307,,0.0,0.5,True,4
Ee,Kidney & Liver Extraction fraction,0.05,0.037656699289490295,,0.01,0.15,True,4
