symbol,name,initial value,value,unit,lower bound,upper bound,fit,digits
FA1,Flip angle 1,15.0,15.0,deg,0.0,180.0,False,4
FA2,Flip angle 2,15.0,15.0,deg,0.0,180.0,False,4
S01,Signal amplitude S0,1200.0,1811.62274686415,a.u.,0.0,inf,False,4
S02,Signal amplitude S0,1200.0,1884.9323763896753,a.u.,0.0,inf,True,4
BAT1,Bolus arrival time,60.0,80.01698709868866,sec,0.0,inf,True,3
BAT2,Bolus arrival time - second shot,10000.0,8214.907776385777,sec,0.0,inf,True,3
CO,Cardiac output,50.0,97.78496978028538,mL/sec,0.0,inf,True,3
MTThl,Heart & lung mean transit time,8.0,7.978208730093122,sec,0.0,30.0,True,2
MTTo,Other organs mean transit time,10.0,10.00592114656802,sec,0.0,30.0,True,2
TTDo,Other organs transit time dispersion,20.0,24.248612102349174,sec,0.0,60.0,True,3
MTTe,Storage compartment mean transit time,120.0,528.9628646265904,sec,0.0,800.0,True,3
El,Storage compartment leakage fraction,0.15,0.10938877580354717,,0.0,0.5,True,4
Ee,Kidney & Liver Extraction fraction,0.05,0.031064711921457978,,0.01,0.15,True,4
