symbol,name,initial value,value,unit,lower bound,upper bound,fit,digits
FA1,Flip angle 1,15.0,15.0,deg,0.0,180.0,False,4
FA2,Flip angle 2,15.0,15.0,deg,0.0,180.0,False,4
S01,Signal amplitude S0,1200.0,1749.6372924977422,a.u.,0.0,inf,False,4
S02,Signal amplitude S0,1200.0,1629.4637330203725,a.u.,0.0,inf,True,4
BAT1,Bolus arrival time,60.0,81.72102236952443,sec,0.0,inf,True,3
BAT2,Bolus arrival time - second shot,10000.0,8596.762147705194,sec,0.0,inf,True,3
CO,Cardiac output,50.0,50.328439372214746,mL/sec,0.0,inf,True,3
MTThl,Heart & lung mean transit time,8.0,5.012299868277596,sec,0.0,30.0,True,2
MTTo,Other organs mean transit time,10.0,12.000219712970525,sec,0.0,30.0,True,2
TTDo,Other organs transit time dispersion,20.0,23.167224318919725,sec,0.0,60.0,True,3
MTTe,Storage compartment mean transit time,120.0,368.81333559513445,sec,0.0,800.0,True,3
El,Storage compartment leakage fraction,0.15,0.2524614605605055,,0.0,0.5,True,4
Ee,Kidney & Liver Extraction fraction,0.05,0.08594352478269955,,0.01,0.15,True,4
