symbol,name,initial value,value,unit,lower bound,upper bound,fit,digits
FA1,Flip angle 1,15.0,15.0,deg,0.0,180.0,False,4
FA2,Flip angle 2,15.0,15.0,deg,0.0,180.0,False,4
S01,Signal amplitude S0,1200.0,1570.3146932088744,a.u.,0.0,inf,False,4
S02,Signal amplitude S0,1200.0,1783.4156925579005,a.u.,0.0,inf,True,4
BAT1,Bolus arrival time,60.0,82.30655544468897,sec,0.0,inf,True,3
BAT2,Bolus arrival time - second shot,10000.0,8517.16732639568,sec,0.0,inf,True,3
CO,Cardiac output,50.0,69.25329715912856,mL/sec,0.0,inf,True,3
MTThl,Heart & lung mean transit time,8.0,7.203503009707521,sec,0.0,30.0,True,2
MTTo,Other organs mean transit time,10.0,13.057517961342928,sec,0.0,30.0,True,2
TTDo,Other organs transit time dispersion,20.0,44.42773698565916,sec,0.0,60.0,True,3
MTTe,Storage compartment mean transit time,120.0,799.999999999992,sec,0.0,800.0,True,3
El,Storage compartment leakage fraction,0.15,0.1722953509951619,,0.0,0.5,True,4
Ee,Kidney & Liver Extraction fraction,0.05,0.03177857571140751,,0.01,0.15,True,4
